Date,Time (UTC),Exchange,Symbol,Action,Quantity,Price,Margin USD,P&L USD,P&L %,Balance After,Result,Order ID,Mode,Notes
,,,,,,,,,,,"NOTE","Hey, if you're at this stage of the video, you must be enjoying it... perhaps you could hit subscribe now? :)"
2026-04-17,14:36:04,BitGet,BTCUSDT,,,77648.97,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend); Price within 1.5% of VWAP (not overextended)"
2026-04-18,03:07:21,BitGet,BTCUSDT,BUY,0.000004,77265.46,0.30,0.0003,0.30,PAPER-1776481641684,PAPER,"All conditions met"
2026-04-18,10:19:05,BitGet,BTCUSDT,,,76360.02,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,10:19:06,BitGet,ETHUSDT,,,2363.92,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,10:19:07,BitGet,SOLUSDT,,,87.19,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,10:19:09,BitGet,XAUTUSDT,,,4798.25,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,10:19:58,BitGet,BTCUSDT,,,76361.34,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,10:20:00,BitGet,ETHUSDT,,,2363.91,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,10:20:02,BitGet,SOLUSDT,,,87.21,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,10:20:03,BitGet,XAUTUSDT,,,4798.25,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,12:36:04,BitGet,BTCUSDT,,,76132.26,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,12:36:07,BitGet,ETHUSDT,,,2355.43,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,12:36:09,BitGet,SOLUSDT,,,86.73,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,12:36:10,BitGet,XAUTUSDT,,,4787.26,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,12:44:57,BitGet,BTCUSDT,,,76172.75,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,12:45:01,BitGet,ETHUSDT,,,2356.79,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,12:45:09,BitGet,SOLUSDT,,,86.80,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,12:45:13,BitGet,XAUTUSDT,,,4783.75,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,13:30:08,BitGet,BTCUSDT,,,76092.00,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,13:30:10,BitGet,ETHUSDT,,,2351.66,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,13:30:12,BitGet,SOLUSDT,,,86.66,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,13:30:13,BitGet,XAUTUSDT,,,4787.89,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,13:33:59,BitGet,BTCUSDT,,,76055.25,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,13:34:03,BitGet,ETHUSDT,,,2352.66,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,13:34:05,BitGet,SOLUSDT,,,86.69,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,13:34:08,BitGet,XAUTUSDT,,,4787.76,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,15:56:50,BitGet,BTCUSDT,,,76175.71,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,15:56:51,BitGet,ETHUSDT,,,2363.92,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,15:56:53,BitGet,SOLUSDT,,,86.73,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,15:56:54,BitGet,XAUTUSDT,,,4791.91,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-18,03:25:39,BitGet,BTCUSDT,OPEN LONG,0.000004,77231.28,0.30,,,PAPER-1776482739691,PAPER,"SL $75686.65 | TP $80320.53"
2026-04-18,12:44:14,BitGet,BTCUSDT,CLOSE LONG,0.000004,76172.76,0.30,-0.04,-1.41%,PAPER-1776481641684,PAPER,"EARLY_EXIT_LOSS: Setup invalidated � price fell below both VWAP and EMA(8)"
2026-04-18,12:44:14,BitGet,BTCUSDT,CLOSE LONG,0.000004,76172.76,0.30,-0.04,-1.37%,PAPER-1776482739691,PAPER,"EARLY_EXIT_LOSS: Setup invalidated � price fell below both VWAP and EMA(8)"
2026-04-19,06:38:09,BitGet,BTCUSDT,BLOCKED,,75475.08,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,06:38:11,BitGet,ETHUSDT,BLOCKED,,2331.85,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,06:38:12,BitGet,SOLUSDT,BLOCKED,,85.61,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,06:38:14,BitGet,XAUTUSDT,BLOCKED,,4776.99,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:18:58,BitGet,BTCUSDT,BLOCKED,,75233.57,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,08:19:00,BitGet,ETHUSDT,BLOCKED,,2316.77,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,08:19:01,BitGet,SOLUSDT,BLOCKED,,84.92,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,08:19:03,BitGet,XAUTUSDT,BLOCKED,,4777.62,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:28:52,BitGet,BTCUSDT,BLOCKED,,75182.53,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:28:54,BitGet,ETHUSDT,BLOCKED,,2317.78,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:28:56,BitGet,SOLUSDT,OPEN LONG,0.147249,84.89,12.50,,,PAPER-1776587336502,PAPER,"SL $83.62 | TP $87.44"
2026-04-19,08:28:58,BitGet,XAUTUSDT,BLOCKED,,4778.80,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:36:59,BitGet,SOLUSDT,CLOSE LONG,0.147249,84.90,12.50,0.01,0.12%,PAPER-1776587336502,PAPER,"EARLY_EXIT_PROFIT: Setup invalidated — price fell below both VWAP and EMA(20)"
2026-04-19,08:37:00,BitGet,BTCUSDT,BLOCKED,,75188.89,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:37:02,BitGet,ETHUSDT,BLOCKED,,2316.80,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:37:04,BitGet,SOLUSDT,BLOCKED,,84.87,,,,BLOCKED,BLOCKED,"Failed: "
2026-04-19,08:37:05,BitGet,XAUTUSDT,BLOCKED,,4779.58,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:50:25,BitGet,BTCUSDT,BLOCKED,,75202.28,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:50:27,BitGet,ETHUSDT,BLOCKED,,2317.76,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:50:28,BitGet,SOLUSDT,BLOCKED,,84.63,,,,,,BLOCKED,BLOCKED,"Failed: Volume drying up (sellers exhausted)"
2026-04-19,08:50:29,BitGet,XAUTUSDT,BLOCKED,,4780.55,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
